Caters,trendy,HasTV,NoiseLevel,OutdoorSeating,WiFi_no,business_id,stars,suggestion
0,0,1,0,1,1,Tony Roma's (3010 23rd St. N.E.),2.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.
0,0,1,1,0,0,Maddie's Place (1455 QC-132),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,2,1,1,The Rib House Restaurant (1239 Woodbine Avenue),3.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,0,0,Texas Roadhouse (2600 W Happy Valley Rd),3.5,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,0,0,0,1,Ric's Lounge & Grill (2875 Sunridge Way NE),3,"Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,Old Barber House (5155 Mississauga Road),2.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,0,0,Outback Steakhouse (1734 E Southern Ave),3.5,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,1,1,1,1,0,Applebee's Grill + Bar (8001 W Bell Rd),3,"You should provide catering services.|Customers prefer not to have trendy atmosphere, so you may need to change the ambience of your store.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks."
0,0,0,1,0,1,"The Arrogant Butcher (2 E Jefferson St, Ste 150)",4,"You should provide catering services.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,South Philly Steak & Fries (301 S Hills Village),2.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Madisons New York Grill & Bar (1065 Rue Drummond),2.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,MR MIKES SteakhouseCasual (12650 Symons Valley Rd NW),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,1,1,0,Lodge Wood Fired Grill (10175 Weddington Rd NW),2,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,0,1,1,0,Landry's Seafood House (2610 W Sahara Ave),3,Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,1,1,2,1,0,Jim Gould (1 E Main St),3.5,"Customers prefer not to have trendy atmosphere, so you may need to change the ambience of your store.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks."
0,0,1,1,0,0,Shinto Japanese Steakhouse & Sushi Bar (17070 Pearl Rd),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,Applebee's Grill + Bar (3528 Hudson Dr),2.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,0,0,Fleming's Prime Steakhouse & Wine Bar- Chandler (905 N 54th St),3.5,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,"Jakes Bistro + Bar (1380 Major Mackenzie Drive E, Unit G-1)",4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,1,Kabuto Japanese Steak House & Sushi Bar (1001 E Wt Harris Blvd),3,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,0,1,0,0,Zero 8 (1735 St-Denis),3.5,"You should provide catering services.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,1,1,1,0,1,Restaurant Yotis (7255 Chemin de Chambly),3,"You should provide catering services.|Customers prefer not to have trendy atmosphere, so you may need to change the ambience of your store.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,3,1,0,N9NE Steakhouse (4321 W Flamingo Rd),4,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,0,1,0,1,Butch's Saloon (10009 W 130th St),3,"You should provide catering services.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,0,0,0,1,Waverly's Steak House (2121 E Craig Rd),4,"You should provide catering services.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Black Forest Steak House & Tavern (2624 Eglinton Avenue E),4.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,Hy's Steakhouse & Cocktail Bar (120 Adelaide Street W),3.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,0,0,1,0,"Bâton Rouge Steakhouse & Bar (5000 Yonge Street, Unit 102)",3,
0,0,1,2,0,0,Pasquales on Macleod (6806 MacLeod Trial SE),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Applebee's Grill + Bar (4191 Rockside Rd),2.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,George's Chop House (1109 Fourier Dr),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,1,1,0,Brown Derby (9500 Diamond Ctr Dr),2.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,0,1,0,1,Cork's and Stubby's (209 S Main St),3,"Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,0,1,0,Steak on a Stone (36455 Euclid Ave),2.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.
0,0,0,1,1,0,1800 Degrees (3058 Bloor Street W),3,You should provide catering services.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,0,1,1,The Guild (200 8 Avenue SW),3,The noise from TV may cause disturbance when customers talk with each others.
1,0,1,0,1,0,Bianca's Ristorante Italiano & Lounge (4284 Beverly Hills Dr),2.5,The noise from TV may cause disturbance when customers talk with each others.
1,0,1,0,1,0,Little City Grille (825 Nevada Hwy),4.5,The noise from TV may cause disturbance when customers talk with each others.
0,0,1,1,1,0,"IL Forno Italian Restaurant (6606 E Mckellips Rd, Ste 104)",3.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,0,The Keg Steakhouse & Bar (560 King Street W),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,0,The Keg Steakhouse + Bar - Place Ville Marie (5 Place Ville Marie),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,0,0,0,1,Sparks Premium Grill + Bar (2620 Rutherford Road),3.5,"You should provide catering services.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,0,0,0,"Ruth's Chris Steak House (115 9 Avenue SE, Suite 294)",4,"The noise from TV may cause disturbance when customers talk with each others.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,Reserve Inn (30 W Streetsboro St),3.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,1,Bâton Rouge Steakhouse & Bar (120 Chemin du Lac Millette),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,0,1,0,1,The Steakhouse at Treasures (2801 Westwood Dr),4.5,"Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,The Bourbon Cellar (23623 N Scottsdale Rd),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,0,1,0,The Carlton (500 Grant St),3.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.
0,0,1,1,0,1,"Eddie V's Prime Seafood (20715 N Pima Rd, Ste F1)",3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,Kelseys Original Roadhouse (2870 Queen Street E),3,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,1,Outback Steakhouse (2520 W Chandler Blvd),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,DC Steak House (98 S San Marcos),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,0,0,0,1,Outback Steakhouse (1650 S Clearview Ave),2.5,"You should provide catering services.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,2,0,0,Vintage Chophouse & Tavern (320 11 Avenue SW),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,1,1,1,Boulder Station Pasta Cucina (4111 Boulder Hwy),3.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,0,0,Lone Star Texas Grill (9301 Yonge Street),2.5,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,0,0,0,1,"The Bistro (1312 Nevada Hwy, Ste D)",3.5,"You should provide catering services.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Tony Roma's (555 N Stephanie St),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,1,1,0,Michael's Gourmet Room (9777 S Las Vegas Blvd),4.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,0,Applebee's Grill + Bar (2053 S Alma School Rd),3,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,0,Bratenahl Place Bistro (One Bratenahl Pl),4.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,Lone Star Steakhouse & Saloon (10004 N 26th Dr),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,1,1,1,1,0,Beef 'N Bottle (4538 S Blvd),3.5,"You should provide catering services.|Customers prefer not to have trendy atmosphere, so you may need to change the ambience of your store.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks."
0,0,1,1,1,1,Hank's Fine Steaks & Martinis (2300 Paseo Verde Pkwy),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,0,"LeVilla Chophouse (1800 4 Street SW, Suite 150)",4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,0,0,0,0,The Overlook (1519 Overlook Rd),3.5,"Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,0,0,0,Yamato (751 N Hwy 16),1.5,"The noise from TV may cause disturbance when customers talk with each others.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,"Teppan Cave (3540 Rutherford Road, Unit 64)",4.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,1,0,0,La Luce Ristorante (4377 Steeles Avenue W),4,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,The Unicorn Restaurant & Pub (423 Main St),4.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,Minas Brazilian Steakhouse (136 2 Street SW),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
